	entity	entity_id	n_properties	pattern_type	sentence	speaker	speaker_id	to_resolve	frequency	combination_type	combination_id
0	Annabel	18	1	person	This person is the date of Todd, the Hombre Man.	average	---	(1, 1)	---	relations	Annabel_0
1	Annabel	18	1	I	I am the date of Todd, the Hombre Man.	Annabel	18	(0, 0)	---	relations	Annabel_0
2	Annabel	18	1	person	This person is a salesgirl.	average	---	(1, 1)	---	attributes	Annabel_1
3	Annabel	18	1	I	I am a salesgirl.	Annabel	18	(0, 0)	---	attributes	Annabel_1
4	Todd, the Hombre Man	152	1	person	This person is a salesman.	average	---	(1, 1)	---	attributes	Todd,_the_Hombre_Man_2
5	Todd, the Hombre Man	152	1	I	I am a salesman.	Todd, the Hombre Man	152	(0, 0)	---	attributes	Todd,_the_Hombre_Man_2
6	The Zoo Employee	169	1	person	This person is a zoo janitor.	average	---	(1, 1)	---	attributes	The_Zoo_Employee_3
7	The Zoo Employee	169	1	I	I am a zoo janitor.	The Zoo Employee	169	(0, 0)	---	attributes	The_Zoo_Employee_3
8	Terry	364	1	person	This person is a coffeeshop owner.	average	---	(1, 1)	---	attributes	Terry_4
9	Terry	364	1	I	I am a coffeeshop owner.	Terry	364	(0, 0)	---	attributes	Terry_4
10	Susie Moss	360	1	person	This person is a make-up dresser.	average	---	(1, 1)	---	attributes	Susie_Moss_5
11	Susie Moss	360	1	I	I am a make-up dresser.	Susie Moss	360	(0, 0)	---	attributes	Susie_Moss_5
12	Susie Moss	360	1	person	This person is a hairdresser.	average	---	(1, 1)	---	attributes	Susie_Moss_6
13	Susie Moss	360	1	I	I am a hairdresser.	Susie Moss	360	(0, 0)	---	attributes	Susie_Moss_6
14	Steven Fisher	355	1	person	This person is a lawyer.	average	---	(1, 1)	---	attributes	Steven_Fisher_7
15	Steven Fisher	355	1	I	I am a lawyer.	Steven Fisher	355	(0, 0)	---	attributes	Steven_Fisher_7
16	Stephanie	354	1	person	This person is a musician.	average	---	(1, 1)	---	attributes	Stephanie_8
17	Stephanie	354	1	I	I am a musician.	Stephanie	354	(0, 0)	---	attributes	Stephanie_8
18	Phoebe Buffay	292	1	person	This person is the dated of Ryan.	average	---	(1, 1)	---	relations	Phoebe_Buffay_9
19	Phoebe Buffay	292	1	I	I am the dated of Ryan.	Phoebe Buffay	292	(0, 0)	---	relations	Phoebe_Buffay_9
20	Phoebe Buffay	292	1	person	This person is a singer-songwriter.	average	---	(1, 1)	---	attributes	Phoebe_Buffay_10
21	Phoebe Buffay	292	1	I	I am a singer-songwriter.	Phoebe Buffay	292	(0, 0)	---	attributes	Phoebe_Buffay_10
22	Phoebe Buffay	292	1	person	This person is a masseuse.	average	---	(1, 1)	---	attributes	Phoebe_Buffay_11
23	Phoebe Buffay	292	1	I	I am a masseuse.	Phoebe Buffay	292	(0, 0)	---	attributes	Phoebe_Buffay_11
24	Phoebe Buffay	292	1	person	This person is the stepdaughter of Phoebe's stepfather.	average	---	(1, 1)	---	relations	Phoebe_Buffay_12
25	Phoebe Buffay	292	1	I	I am the stepdaughter of Phoebe's stepfather.	Phoebe Buffay	292	(0, 0)	---	relations	Phoebe_Buffay_12
26	Phoebe Buffay	292	1	person	This person is the stepdaughter of Mrs. Buffay (Frank Sr.'s second wife).	average	---	(1, 1)	---	relations	Phoebe_Buffay_13
27	Phoebe Buffay	292	1	I	I am the stepdaughter of Mrs. Buffay (Frank Sr.'s second wife).	Phoebe Buffay	292	(0, 0)	---	relations	Phoebe_Buffay_13
28	Phoebe Buffay	292	1	person	This person is the half-sister of Frank Buffay Sr..	average	---	(1, 1)	---	relations	Phoebe_Buffay_14
29	Phoebe Buffay	292	1	I	I am the half-sister of Frank Buffay Sr..	Phoebe Buffay	292	(0, 0)	---	relations	Phoebe_Buffay_14
30	Phoebe Buffay	292	1	person	This person is the adoptive granddaughter of Frances.	average	---	(1, 1)	---	relations	Phoebe_Buffay_15
31	Phoebe Buffay	292	1	I	I am the adoptive granddaughter of Frances.	Phoebe Buffay	292	(0, 0)	---	relations	Phoebe_Buffay_15
32	Phoebe Buffay	292	1	person	This person is the ex-wife of Duncan.	average	---	(1, 1)	---	relations	Phoebe_Buffay_16
33	Phoebe Buffay	292	1	I	I am the ex-wife of Duncan.	Phoebe Buffay	292	(0, 0)	---	relations	Phoebe_Buffay_16
34	Phoebe Buffay	292	1	person	This person is the ex-girlfriend of Roger.	average	---	(1, 1)	---	relations	Phoebe_Buffay_17
35	Phoebe Buffay	292	1	I	I am the ex-girlfriend of Roger.	Phoebe Buffay	292	(0, 0)	---	relations	Phoebe_Buffay_17
36	Phoebe Buffay	292	1	person	This person is the ex-girlfriend of David.	average	---	(1, 1)	---	relations	Phoebe_Buffay_18
37	Phoebe Buffay	292	1	I	I am the ex-girlfriend of David.	Phoebe Buffay	292	(0, 0)	---	relations	Phoebe_Buffay_18
38	Phoebe Buffay	292	1	person	This person is the daughter of Lily Buffay.	average	---	(1, 1)	---	relations	Phoebe_Buffay_19
39	Phoebe Buffay	292	1	I	I am the daughter of Lily Buffay.	Phoebe Buffay	292	(0, 0)	---	relations	Phoebe_Buffay_19
40	Ryan	339	1	person	This person is a lieutenant commander.	average	---	(1, 1)	---	attributes	Ryan_20
41	Ryan	339	1	I	I am a lieutenant commander.	Ryan	339	(0, 0)	---	attributes	Ryan_20
42	Ross Geller	335	1	person	This person is the doppelganger of Russ.	average	---	(1, 1)	---	relations	Ross_Geller_21
43	Ross Geller	335	1	I	I am the doppelganger of Russ.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_21
44	Ross Geller	335	1	person	This person is a professor.	average	---	(1, 1)	---	attributes	Ross_Geller_22
45	Ross Geller	335	1	I	I am a professor.	Ross Geller	335	(0, 0)	---	attributes	Ross_Geller_22
46	Ross Geller	335	1	person	This person is the husband of Rachel Green.	average	---	(1, 1)	---	relations	Ross_Geller_23
47	Ross Geller	335	1	I	I am the husband of Rachel Green.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_23
48	Ross Geller	335	1	person	This person is the former owner of Marcel.	average	---	(1, 1)	---	relations	Ross_Geller_24
49	Ross Geller	335	1	I	I am the former owner of Marcel.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_24
50	Ross Geller	335	2	np	This man is a paleontologist.	average	---	(1, 1)	---	attributes	Ross_Geller_25
51	Ross Geller	335	2	np	This paleontologist is a man.	average	---	(1, 1)	---	attributes	Ross_Geller_25
52	Ross Geller	335	2	he_she	He is a paleontologist.	average	---	(0, 0)	---	attributes	Ross_Geller_25
53	Ross Geller	335	2	person	This person is a man and a paleontologist.	average	---	(1, 1)	---	attributes	Ross_Geller_25
54	Ross Geller	335	2	person	This person is a paleontologist and a man.	average	---	(1, 1)	---	attributes	Ross_Geller_25
55	Ross Geller	335	2	I	I am a man and a paleontologist.	Ross Geller	335	(0, 0)	---	attributes	Ross_Geller_25
56	Ross Geller	335	2	I	I am a paleontologist and a man.	Ross Geller	335	(0, 0)	---	attributes	Ross_Geller_25
